fecha_hecho,delito,sexo,edad,colonia_catalogo,alcaldia_catalogo,latitud,longitud,anio_hecho,mes_hecho,dia_hecho,indice_alcaldia,,
05/06/2017,USURPACIÓN DE IDENTIDAD,1,44,General Ignacio Zaragoza,Venustiano Carranza,19.41205375,-99.08928832,2017,6,5,13.00,,
11/06/2017,USURPACIÓN DE IDENTIDAD,0,25,Centro,Cuauhtémoc,19.43352658,-99.14113373,2017,6,11,4.00,,
19/06/2017,USURPACIÓN DE IDENTIDAD,1,46,Anzures,Miguel Hidalgo,19.42890189,-99.17522013,2017,6,19,9.00,,
20/06/2017,USURPACIÓN DE IDENTIDAD,1,67,San Jose Ticoman,Gustavo A. Madero,19.50447,-99.13082,2017,6,20,5.00,,
27/06/2017,USURPACIÓN DE IDENTIDAD,0,55,Mixcoac,Benito Juárez,19.37249566,-99.1893471,2017,6,27,1.00,,
28/06/2017,USURPACIÓN DE IDENTIDAD,1,45,Del Carmen,Coyoacán,19.35396515,-99.15960699,2017,6,28,2.00,,
05/07/2017,USURPACIÓN DE IDENTIDAD,1,42,La Malinche,La Magdalena Contreras,19.32385825,-99.24376354,2017,7,5,8.00,,
07/07/2017,USURPACIÓN DE IDENTIDAD,1,37,Ampliacion Granada,Miguel Hidalgo,19.44183679,-99.20289186,2017,7,7,9.00,,
09/07/2017,USURPACIÓN DE IDENTIDAD,1,34,Lindavista Norte,Gustavo A. Madero,19.49777,-99.12602,2017,7,9,5.00,,
13/07/2017,USURPACIÓN DE IDENTIDAD,0,45,Barros Sierra,La Magdalena Contreras,19.31624,-99.24409,2017,7,13,8.00,,
15/07/2017,USURPACIÓN DE IDENTIDAD,0,32,El Rosedal,Coyoacán,19.34346044,-99.15562788,2017,7,15,2.00,,
21/07/2017,USURPACIÓN DE IDENTIDAD,0,36,Tepeyac Insurgentes,Gustavo A. Madero,19.48529367,-99.11947306,2017,7,21,5.00,,
14/08/2017,USURPACIÓN DE IDENTIDAD,0,54,Veronica Anzures,Miguel Hidalgo,19.43704279,-99.17611733,2017,8,14,9.00,,
15/08/2017,USURPACIÓN DE IDENTIDAD,1,40,Barrio Tenantitla,Milpa Alta,19.22175344,-98.99447478,2017,8,15,10.00,,
01/09/2017,USURPACIÓN DE IDENTIDAD,1,31,Cerro De La Estrella,Iztapalapa,19.32849,-99.07518,2017,9,1,7.00,,
01/09/2017,USURPACIÓN DE IDENTIDAD,0,30,Lomas De La Era,Álvaro Obregón,19.32072387,-99.26332086,2017,9,1,15.00,,
14/09/2017,USURPACIÓN DE IDENTIDAD,0,34,Roma Norte,Cuauhtémoc,19.42027,-99.16427,2017,9,14,4.00,,
01/10/2017,USURPACIÓN DE IDENTIDAD,0,58,Maximino Avila Camacho,Gustavo A. Madero,19.47916603,-99.13585961,2017,10,1,5.00,,
17/10/2017,USURPACIÓN DE IDENTIDAD,0,55,Ampliacion Gabriel Ramos Millan,Iztacalco,19.38704,-99.10015,2017,10,17,6.00,,
30/10/2017,USURPACIÓN DE IDENTIDAD,0,32,Fuentes Brotantes,Tlalpan,19.28988362,-99.17394429,2017,10,30,11.00,,
01/11/2017,USURPACIÓN DE IDENTIDAD,1,37,Centro,Cuauhtémoc,19.42895,-99.13386,2017,11,1,4.00,,
01/11/2017,USURPACIÓN DE IDENTIDAD,1,59,Tlacoquemecatl,Benito Juárez,19.37777,-99.17747,2017,11,1,1.00,,
01/11/2017,USURPACIÓN DE IDENTIDAD,1,41,Residencial Emperadores,Benito Juárez,19.36724,-99.15864,2017,11,1,1.00,,
01/11/2017,USURPACIÓN DE IDENTIDAD,1,31,Barrio San Simon Culhuacan,Iztapalapa,19.33588385,-99.10148605,2017,11,1,7.00,,
03/11/2017,USURPACIÓN DE IDENTIDAD,1,31,Ajusco,Coyoacán,19.32069,-99.16369,2017,11,3,2.00,,
17/11/2017,USURPACIÓN DE IDENTIDAD,1,50,Parque San Andres,Coyoacán,19.34451,-99.14637,2017,11,17,2.00,,
30/11/2017,USURPACIÓN DE IDENTIDAD,1,21,Santa Fe Cuajimalpa,Cuajimalpa de Morelos,19.36173063,-99.2702653,2017,11,30,3.00,,
01/12/2017,USURPACIÓN DE IDENTIDAD,0,22,Granjas De San Antonio,Iztapalapa,19.3603,-99.10546,2017,12,1,7.00,,
05/12/2017,USURPACIÓN DE IDENTIDAD,1,42,Vergel De Coyoacan,Tlalpan,19.30330362,-99.13561614,2017,12,5,11.00,,
17/12/2017,USURPACIÓN DE IDENTIDAD,0,43,San Francisco Culhuacan Barrio De La Magdalena,Coyoacán,19.34012125,-99.11608806,2017,12,17,2.00,,
26/12/2017,USURPACIÓN DE IDENTIDAD,1,32,Del Carmen,Coyoacán,19.3538129,-99.1636051,2017,12,26,2.00,,
01/01/2018,USURPACIÓN DE IDENTIDAD,1,65,Doctores,Cuauhtémoc,19.42371964,-99.15145263,2018,1,1,4.00,,
01/01/2018,USURPACIÓN DE IDENTIDAD,0,35,Portales Sur,Benito Juárez,19.36133539,-99.14484286,2018,1,1,1.00,,
07/01/2018,USURPACIÓN DE IDENTIDAD,1,35,Mixcoac,Benito Juárez,19.37188,-99.18824,2018,1,7,1.00,,
09/01/2018,USURPACIÓN DE IDENTIDAD,0,37,San Miguel Chapultepec I Seccion,Miguel Hidalgo,19.40697079,-99.18477684,2018,1,9,9.00,,
11/01/2018,USURPACIÓN DE IDENTIDAD,1,34,Del Valle Centro,Benito Juárez,19.38422,-99.16323,2018,1,11,1.00,,
12/01/2018,USURPACIÓN DE IDENTIDAD,0,47,Portales Norte,Benito Juárez,19.37212,-99.15619,2018,1,12,1.00,,
15/01/2018,USURPACIÓN DE IDENTIDAD,1,40,Pedregal De Santo Domingo,Coyoacán,19.32854,-99.16263,2018,1,15,2.00,,
15/01/2018,USURPACIÓN DE IDENTIDAD,0,33,Granjas Mexico,Iztacalco,19.39841212,-99.11144896,2018,1,15,6.00,,
16/01/2018,USURPACIÓN DE IDENTIDAD,1,44,Tepopotla,Álvaro Obregón,19.36167902,-99.25137609,2018,1,16,15.00,,
18/01/2018,USURPACIÓN DE IDENTIDAD,0,60,San Jeronimo Lidice,La Magdalena Contreras,19.32961514,-99.22906492,2018,1,18,8.00,,
24/01/2018,USURPACIÓN DE IDENTIDAD,0,52,Cuautepec Barrio Alto,Gustavo A. Madero,19.55987379,-99.1337723,2018,1,24,5.00,,
25/01/2018,USURPACIÓN DE IDENTIDAD,0,32,El Vergel,Iztapalapa,19.31723,-99.07643,2018,1,25,7.00,,
29/01/2018,USURPACIÓN DE IDENTIDAD,1,34,Roma Norte,Cuauhtémoc,19.41912,-99.17299,2018,1,29,4.00,,
30/01/2018,USURPACIÓN DE IDENTIDAD,1,52,Alamos,Benito Juárez,19.40052,-99.14107,2018,1,30,1.00,,
30/01/2018,USURPACIÓN DE IDENTIDAD,1,30,Pueblo Santa Martha Acatitla,Iztapalapa,19.36482,-99.00884,2018,1,30,7.00,,
30/01/2018,USURPACIÓN DE IDENTIDAD,0,20,Hipodromo,Cuauhtémoc,19.41188,-99.1718,2018,1,30,4.00,,
21/02/2018,USURPACIÓN DE IDENTIDAD,0,64,Nonoalco Tlatelolco,Cuauhtémoc,19.45668752,-99.14817475,2018,2,21,4.00,,
01/03/2018,USURPACIÓN DE IDENTIDAD,1,58,Santa Cecilia,Coyoacán,19.30738,-99.11251,2018,3,1,2.00,,
01/03/2018,USURPACIÓN DE IDENTIDAD,1,56,Cuajimalpa,Cuajimalpa de Morelos,19.35628583,-99.29166624,2018,3,1,3.00,,
04/03/2018,USURPACIÓN DE IDENTIDAD,0,72,Pueblo De La Magdalena Mixiuhca,Venustiano Carranza,19.4104061,-99.1170092,2018,3,4,13.00,,
06/03/2018,USURPACIÓN DE IDENTIDAD,1,45,Irrigacion,Miguel Hidalgo,19.44033195,-99.20774885,2018,3,6,9.00,,
09/03/2018,USURPACIÓN DE IDENTIDAD,1,55,Barranca Seca,La Magdalena Contreras,19.30478,-99.23817,2018,3,9,8.00,,
15/03/2018,USURPACIÓN DE IDENTIDAD,1,38,Progresista,Iztapalapa,19.35818319,-99.0648217,2018,3,15,7.00,,
15/03/2018,USURPACIÓN DE IDENTIDAD,1,37,Progresista,Iztapalapa,19.35830557,-99.06478256,2018,3,15,7.00,,
18/03/2018,USURPACIÓN DE IDENTIDAD,0,49,Michoacana,Venustiano Carranza,19.44926,-99.1155,2018,3,18,13.00,,
